title,company_name,job_description,english_level,salary
Str.Middle/Senior Python Developer до $5500,Argument,"Looking for an experienced Python engineer who is proficient with Python, Postgres, SQL. The project is a high performance web application to view and analyze domain specific data. A commitment to collaborative problem solving, sophisticated design, and quality products are important. A stable long term project, growing customer base, small team fun to work with.

Responsibilities:

-Developing new application features

-Design multi-user resource efficient solutions

-Building reusable components for future use

-Optimizing services for maximum performance

Technical skills:

-Strong proficiency in Python

-Strong experience in working with databases (PostgreSQL) and SQL language

-Experience in Pyramid is a plus

-Experience in implementing Reporting and Analytics is a plus

-Ability to understand business requirements and translate them into technical requirements

-Experience in speech analysis is a plus

Non-technical skills:

-Team player

-Excellent time-management skills

-Great interpersonal and communication skills",Beginner,до $5500
Full-Stack Developer (Python (Django) + React.js),ScrumLaunch,"Our project helps non-profits fundraise more effectively by building software to deliver actionable insights and tailored recommendations for donor engagement by integrating data from multiple CRMs, and leveraging GPT4 and Vertex AI and using insights from behavioral science. Join us and help non-profits do more good.

We are seeking a skilled and versatile software engineer to join our nimble, people-focused team. As a small startup, we embrace rapid innovation and strive to empower non-profits by developing a state-of the-art application that simplifies donor relationship management.

Requirements:
- 5+ years professional software engineering experience;
- A genuine interest in learning UX/UI principles and modern event-based UI approaches (frontend expertise isn’t mandatory);
- Aptitude for thriving in a dynamic environment with evolving requirements and priorities;
- A strong interest in understanding product and contributing to the overall success of the business;
- A robust sense of ownership and the ability to work autonomously;
- We care less about your experience with specific technologies versus your ability to learn quickly.

Our stack:
- python, django, celery, strawberry;
- typescript, react, next, apollo;
- postgres;
- render, vercel, gcp, aws;
- sentry, rainforestQA.

Responsibilities:
- Expand our platform with new relationship management functionalities, like in-app calling & summarizing;
- Tackle frontend tasks with limited UX/UI guidance or pre-existing designs;
- Leverage GPT4 and Vertex AI to develop advanced relationship management tools, including personalized email composition, call scripts, and relationship history analysis;
- Investigate opportunities for integrating with top-tier CRMs like Hubspot to reach new markets;
- Improve and maintain our CRM data import system, including Salesforce, Blackbaud, and Donor Perfect integrations.",Advanced,
Performance engineer (Singapore),SimilarDev,"About the company
Cellebrite DI Ltd. is an Israeli digital intelligence company that provides tools for federal, state, and local law enforcement as well as enterprise companies and service providers to collect, review, analyze, and manage digital data.

What is your mission?
- A seasoned performance and automation engineer with a proven track record in the cyber security and big data sectors.
- Adept in conducting both cloud and on-premises performance tests, designing performance test architecture and test plans, monitoring, and utilizing tools such as Python, Jmeter, Grafana, Selenium, databases, Linux, and networking.

What you’ll love about your mission?
- You will setup tools and required infrastructure, Become an expert in SaaS processes, Work with other DevOps to deploy and integrate Cellebrite products and pipelines.
- Perform measurements and write end customer performance reports.
- Communicate/Present to the end customer on performance results and needed adjustments.

What are the requirements?
· Experience as a Performance Engineer.
· Proficiency in the following tech stack: Python, Jmeter, Grafana, Prometheus, Linux, networking, AWS, Azure, Grafana K6.
· The ability to create benchmark reports.
· Experience in running performance tests, whether on-premises or in the cloud.
· The capability to identify performance issues and bottlenecks.
· The skill to create hardware specifications and optimize performance.
· Experience with AWS is an advantage.
· Strong teamwork skills, a self-learning mindset, effective communication abilities, and a can-do attitude.",Upper,
Middle Python Developer,Starnavi,"REQUIRED SKILLS:
- 2+ years experience with Python, Django or Flask;
- Knowledge of SQL and NoSQL databases;
- Knowledge of Docker;
- Understanding of the HTTP protocol and RESTful APIs;
- Command of Linux/UNIX environment (shell, scripting, tools);
- Passionate about Testing (Unit and Integration Testing);
- Upper Intermediate Russian or Ukrainian;
- Upper Intermediate + English.

A PLUS:
- Knowledge of one of the modern frameworks such as Angular / ReactJS / Vue;
- Knowledge of Kubernetes.

YOUR BENEFITS:
- Extensive experience and remote work possibilities;
- Hands-on training support;
- Paid vacation and sick days;
- Insurance compensation;
- Partial compensation of gym membership, English courses, books, materials for developing etc.;
- Unique company that is focused on the solutions development for specific business niches;
- Opportunity to get more experience with events, conferences, seminars, master classes and training at the company’s expense;
- Best management and team support: we are always happy to hear from colleagues about their business & technology ideas;
- Opportunity to implement your ideas on our internal projects;
- Regular salary revision.

RESPONSIBILITIES:
- Development of components and applications in Python / Django;
- Maintenance of existing applications;
- Tasks estimation;
- Writing technical documentation and reports.

Please note that the vacancy now has a requirement to do a test task, if not ready to perform, please do not respond.",Upper,
Junior Python Developer,Cosmonova Broadcast,"Cosmonova Broadcast - це IT і High Tech для медіа бізнесу. Компанія має доступ до найсильнішої експертизі завдяки своїй команді R & D і IT професіоналів з більш ніж 16-ти річним досвідом. У центрі експертизи та R & D використовуються найсучасніші технології та обладнання, постійно вивчаються і впроваджуються нові рішення, проводяться тести нових протоколів і стандартів, апаратних, програмно-апаратних та інфраструктурних сервісів для різних завдань, в тому числі під великим навантаженням.

Розшукуємо Junior Python Developer!

Що потрібно буде робити?

Розробка проекту компанії, пов’язаного з мультимедіа;
Швидке і якісне вирішення поставлених завдань, пов’язаних з інтернет-технологіями;

Що ми очікуємо від нашого кандидата?

Досвід роботи з Python від 1 року;
Знання SQL: MySQL, PostgreSQL
Досвід використання систем контролю версій Git, CI/CD;
Розуміння API (WebSocket, REST);
Досвід роботи з односторінковими додатками і концепції архітектури мікросервісів;

Пропонуємо:

Комфортний офіс в сучасному БЦ Протасов;
П’ятиденний робочий тиждень, гнучкий графік роботи;
Оплачувані 24 дня відпустки;
Конкурентна зарплата;
Корпоративна знижка в Sport Life;
Sweet / Fruit Fridays;
Офіційне оформлення;
Всі можливості для розвитку і зростання;
Цікава робота в команді.

До зустрічі в нашій дружній команді СosmonovaBroadcast :)

На даний момент, джунів без комерційного досвіду не розглядаємо, на даній позиції необхідний обовязковий досвід від 1 року.",Pre,
Automation QA Middle (Python) Engineer,Delphi Software,"Perimeter 81 is expanding team for development cybersecurity and SaaS platform. All solutions allows companies manage networks and security from single cloud. You will be part of multi-national distributed team responsible for developing next-generation full stack projects integrated with AWS, Google Cloud, Microsoft Azure, Heroku, SalesForce and Splunk.

Join to our international team with offices in New York, Los Angeles, Tel-Aviv and Vinnytsia.

RESPONSIBILITIES

Create and maintain automation frameworks for R&D products
Design, automate and implement test cases for a variety of products, using the latest technologies on the market
Develop and apply integrated testing processes for new and existing products, using the latest tools and technology
Review requirements, specifications, and technical design documents to provide timely and meaningful feedback
Use different testing techniques such as UI testing, automated testing, and test-driven development strategies
Work hand-in-hand with manual QA to learn about the system and find ways to improve the automation flows, creating testing tools to improve our QA capabilities
Build load and performance testing frameworks
Identify key KPIs for product quality
Challenge our methodologies and tools and strive to continuously improve

SKILLS

3+ years’ experience with automation tools and processes with a focus on performance
Experience with:
scripting languages such as Python
web applications, UI and API testing
MongoDB
TDD strategy
Playwright (or similar) for integration tests
configuring firewalls, networks
Good understanding of network protocols (HTTP, HTTPS, TCP/UDP, Routing), tunnels and VPNs
Nice to have experience with:
performance testing tools such as JMeter, LoadRunner, or Gatling
performance monitoring tools
cloud platforms such as AWS
containerization technologies such as Docker and Kubernetes
cloud-based performance testing tools such as AirFlow
Upper-Intermediate level of English.

WE OFFER

Work in a creative friendly environment using cutting-edge technologies
Work-life balance and flexible schedule
Competitive compensation with focus on your expectations; annual salary review
24-day paid vacation and 100% paid sick leave
Financial support and legal support for individual entrepreneurs from our side
Professional, language and soft skills trainings
Health insurance coverage: individual and family, fitness plan",Upper,
Senior Django Developer,Encomane,"Клієнт:
Консалтингова та аудиторська компанія з питань безпеки ІТ, має досвід більше 10 років на міжнародному ринку.

Проєкт:
Технологічний старт ап - проєктування та розробка платформи з автоматизації процесів аудиту та оцінки ризику з нуля. Проєкт розрахований на 3-6 місяців до версії MVP з можливістю продовження.

Кандидат:
- 4+ роки комерційного досвіду у розробці веб-застосунків на Django
- досвід проєктування і розробки складних проєктів
- знання у роботі з REST API і реляційними базами даних
- досвід роботи з бібліотеками Django
- глибокі знання автоматизованого тестування
- досвід роботи з базами даних, зокрема MySQL, PostgreSQL.
- знання систем контролю версій (Git)
- добрі комунікативні навички та здатність працювати в команді.

Задача кандидата:
- Самостійна побудова архітектури back-end застосунку на Django
- Оцінка проєкт для подальшої роботи (Estimation)
- Робота в команді з Project-Manager, QA, Front-End Developer",,від $3000
QA Automation Engineer,PLVision,"We invite a Quality Assurance (QA) Automation Engineer with 2+ years of commercial experience in embedded software validation and test automation to join new PLVision’s project for one of the leaders in the networking industry. In this role, you will validate new DASH functionality for modern Data Processing Unit (DPU)/ Intelligence Processing Unit (IPU) systems and collaborate in open-source communities.

This is an opportunity to get a stable job in a reliable company that continues to hire and extend in Ukraine.

About PLVision
We are a software product development company specializing in computer networking and embedded systems. PLVision has offices in Krakow, Poland, and in Ukraine: Lviv, Odesa, Kyiv, and Kharkiv (currently relocated). Founded in 2007, the company helps networking industry leaders and ambitious startups in the U.S., Israel, and the EU countries to launch innovative products.

Vacancy responsibilities:
• Validate new DASH functionality for modern Data Processing Unit (DPU)/ Intelligence Processing Unit (IPU) systems
• Test implementation, execution and automation
• Collaborate with the open-source community on alignment and introduce new functionality
• Prepare test case reports
• Perform test analysis and debugging

Vacancy requirements:
• Bachelor's degree in Computer Science or related technical discipline
• 2+ years of commercial experience in Embedded Software Validation and Test Automation
• Good knowledge of Python
• Good knowledge of Linux, at least as a user
• Experience with Linux tools and Bash
• Knowledge of test frameworks like Pytest, PTF, etc.
• Basic network knowledge (L2/L3, routing/switching)
• Understanding of CI/CD, Jenkins
• Good communication skills and the ability to work in a team
• Knowledge of technical English at Intermediate level or higher

Vacancy plus options:
Experience with open-source projects
SAI(Switch Abstraction Interface)/SONiC (Software for Open Networking in the Cloud) validation experience
Familiarity with Linux network tools
Experience in virtualization, containerization and Python virtual environments
Experience with software and hardware traffic generators (e.g., IXIA, Scapy, etc.)",Intermediate,
Middle/ Middle+ Back-end Python Developer,ARENA CS,"Gradus – це продуктова компанія, а це означає:
- кожен учасник в команді впливає на якість та технологічність продукту, пропонує покращення, оптимізації, новий функціонал;
- пропонує нові технології та підходи, які сприяють покращенню продукту;
- з першого дня роботи наша команда дбайливо введе вас у курс справи, розповість про продукт, процеси, плани та відповість на будь-які питання;
- мінімум бюрократії у процесах.



Твої обов'язки:
- сприяти динамічному розвитку продукту, а саме: розробляти та впроваджувати новий функціонал для ефективного використання нашими співробітниками;
- супроводжувати та покращувати внутрішній бекофіс додатку.

Про тебе:
- 3+ досвіду на python3, django, django-rest-framework;
- знайомство з базами PostgreSQL;
- плюсом буде досвід роботи з MongoDB, celery;
- знання REST principles, OOP, Design Patterns;
- володіння англійською на рівні вичитування технічної документації.

Наш ідеальний кандидат:
- проактивний, ініціативний;
- розуміє потреби бізнесу та команди та знаходить їм рішення.

Ми пропонуємо:
- конкурентну зарплату з можливістю перегляду за результатами роботи;
- дружня команда професіоналів своєї справи;
- зручний, віддаленй формат роботи;
- 20 днів відпустки на рік

Про нас
Компанія має унікальний продукт на українському ринку маркетингових та соціологічних досліджень. Це система експрес онлайн-опитувань у мобільному додатку. Наша перевага серед конкурентів – швидкість надання результатів. Отже швидкість – наш девіз у роботі.",Upper,
Python Engineer,Lemberg Solutions,"Lemberg Solutions is, above all, a group of passionate professionals led by a core team that have been meticulously selected over the last 15 years. We are based in Lviv, Rivne, and Lutsk, and opened GmbH in Hamburg, Germany.
At LS, people come first. We know that our success is based on our people’s achievements. Each and every one of our 200 team members is highly valued for their hard work, and we’re always excited to welcome new specialists ready to embrace challenges with us.

Pay attention: only those candidates who meet the listed requirements will receive an answer
Necessary skills and qualifications:
- At least 3 years of commercial experience with Python frameworks (Flask or FastAPI or Django REST, etc.)
- Experience with relational/non-relational databases
- Strong knowledge of the Object-Oriented Design and Analysis principles
- Hands-on experience with application performance optimization and low-level debugging
- Experience with AWS or Azure cloud services
- Good knowledge of HTTP protocol
- Knowledge of communication protocols: MQTT/XMPP/AMQP/RabbitMQ/WebSockets
- Proactive position in solution development and processes improvements
- Ability to cooperate with customers and teammates
- At least intermediate level of written and verbal English

Will be a plus:
- Experience with any other back-end technologies
- Ability to investigate new technological areas and understand them in depth through rapid self-learning
- Practical experience collecting data from at least one hardware device such as Arduino or Raspberry Pi
- Experience with contributing to and influencing technical strategic planning or responsibility for a technical strategy
- Ability to document technical solutions in different formats

What we offer:
Time Off
- 18 days paid annual leave
- 10 days paid sick leave
- 5 days unpaid leave
- 5 days additional paid time off following your wedding or your child’s birth
- Paid public holidays

Workplace Benefits
- Free English classes in groups
- Flexible work schedule
- Fully equipped workstation
- Comfortable office
- Access to a video library of soft skill workshops

Financial Benefits
- Relocation support program
- Financial support from LS in case of emergency (reviewed individually)
- Overtime pay
- In-house accounting service

Fun
- Lviv IT Cluster gifts & discounts
- Team building & industry events

About the project:
Our typical Python projects consist of dynamic REST API services seamlessly integrated with cutting-edge cloud services from AWS and Azure. Moreover, our projects usually feature background services, including data consumers, workers, or system demons.
Mainly, we work with startup projects, so you will need to solve specific challenges to help our customers meet their business requirements.",Intermediate,
